players,try_match,match_played,tries,team
Bielle-Biarrey,1.8,5,9,France
Attissogbe,1.0,5,5,France
Arundell,1.33,3,4,England
Graham,1.0,4,4,Scotland
Osborne,0.8,5,4,Ireland
O'Brien,1.5,2,3,Ireland
Baloucoune,0.75,4,3,Ireland
Roebuck,0.75,4,3,England
Ramos,0.6,5,3,France
Carre,0.6,5,3,Wales
Steyn,0.6,5,3,Scotland
Freeman,0.6,5,3,England
Gailleton,1.0,2,2,France
Conan,0.5,4,2,Ireland
Jalibert,0.5,4,2,France
Sheehan,0.5,4,2,Ireland
Ollivon,0.4,5,2,France
White,0.4,5,2,Scotland
Adams,0.4,5,2,Wales
Jones,0.4,5,2,Scotland
Russell,0.4,5,2,Scotland
Wainwright,0.4,5,2,Wales
Earl,0.4,5,2,England
Chessum,0.4,5,2,England
Menoncello,0.4,5,2,Italy
Ritchie,1.0,1,1,Scotland
Lawrence,1.0,1,1,England
Capuozzo,1.0,1,1,Italy
Murray,1.0,1,1,Ireland
Drean,1.0,1,1,France
Allan,0.5,2,1,Italy
Stockdale,0.5,2,1,Ireland
Murley,0.5,2,1,England
Grady,0.5,2,1,Wales
Brau-Boirie,0.5,2,1,France
Dingwall,0.33,3,1,England
Milne,0.33,3,1,Ireland
Botham,0.33,3,1,Wales
Dempsey,0.25,4,1,Scotland
Jegou,0.25,4,1,France
Di Bartolomeo,0.25,4,1,Italy
Edwards,0.25,4,1,Wales
Turner,0.2,5,1,Scotland
Marchand,0.2,5,1,France
Dupont,0.2,5,1,France
Underhill,0.2,5,1,England
Gibson-Park,0.2,5,1,Ireland
Smith,0.2,5,1,England
Horne,0.2,5,1,Scotland
Timoney,0.2,5,1,Ireland
Schoeman,0.2,5,1,Scotland
Coles,0.2,5,1,England
Meafou,0.2,5,1,France
Lynagh,0.2,5,1,Italy
Lake,0.2,5,1,Wales
Garbisi,0.2,5,1,Italy
Darge,0.2,5,1,Scotland
Crowley,0.2,5,1,Ireland
Marin,0.2,5,1,Italy
Nicotera,0.2,5,1,Italy
Jordan,0.2,5,1,Scotland
